pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2024-04-19,79.7,-2.24,6.27,"Rivera, Emmanuel",656896,605155,force_out,hit_into_play,5.0,"Emmanuel Rivera grounds into a force out, third baseman Patrick Wisdom to second baseman Nico Hoerner.   Nick Gordon out at 2nd.",R,R,CHC,MIA,X,5.0,ground_ball,1,1,1.16,-1.33,-0.02,2.43,,,624503.0,2,9,Top,99.8,168.31,665804,,2.68986240471777,-115.817542181755,0.968876022236823,9.60749843328134,26.8925222044464,-44.3742632246406,3.45,1.63,50.0,100.3,0.0,78.8,2811.0,6.3,746892,643265,663538,621550,621020,672744,641355,643565,54.21,0.443,0.412,0.0,1.0,0.0,0.0,4.0,73,3,Curveball,8,3,3,8,3,8,3,8,Standard,Standard,41.0,0.001,-0.215,76.8634104339189,7.01954
CU,2024-04-19,79.9,-2.01,6.22,"Rivera, Emmanuel",656896,605155,,blocked_ball,14.0,"Emmanuel Rivera grounds into a force out, third baseman Patrick Wisdom to second baseman Nico Hoerner.   Nick Gordon out at 2nd.",R,R,CHC,MIA,B,,,0,1,0.97,-1.56,1.73,0.11,,,624503.0,2,9,Top,,,665804,,6.42352939949557,-116.079414924583,-3.5968018750983,7.08101059922553,27.2524373576064,-45.4100768435544,3.47,1.65,,,,79.1,2763.0,6.4,746892,643265,663538,621550,621020,672744,641355,643565,54.1,,,,,,,,73,2,Curveball,8,3,3,8,3,8,3,8,Standard,Standard,34.0,0.0,0.028,,
SL,2024-04-19,87.2,-2.57,5.97,"Rivera, Emmanuel",656896,605155,,foul,6.0,"Emmanuel Rivera grounds into a force out, third baseman Patrick Wisdom to second baseman Nico Hoerner.   Nick Gordon out at 2nd.",R,R,CHC,MIA,S,,,0,0,0.28,0.28,0.55,2.71,,,624503.0,2,9,Top,,,665804,,6.93569064906486,-126.88648457976,-2.31515367874855,1.82441243056711,23.3661431884799,-28.8646985672433,3.45,1.63,,,,87.8,2584.0,6.4,746892,643265,663538,621550,621020,672744,641355,643565,54.06,,,,,,,,73,1,Slider,8,3,3,8,3,8,3,8,Standard,Standard,111.0,0.0,-0.042,69.4765560168535,7.3315
FF,2024-04-19,93.8,-2.41,5.91,"Gordon, Nick",624503,605155,single,hit_into_play,5.0,Nick Gordon singles on a line drive to left fielder Alexander Canario.   Josh Bell scores.    Otto Lopez scores.,L,R,CHC,MIA,X,7.0,line_drive,0,1,-0.45,0.91,-0.03,2.93,605137.0,672640.0,,2,9,Top,104.69,126.5,665804,,7.16588760581533,-136.5400079387,-4.03596615789182,-7.0628928757789,27.1823263043878,-20.1003392365609,3.54,1.72,158.0,85.8,10.0,94.3,2228.0,6.4,746892,643265,663538,621550,621020,672744,641355,643565,54.14,0.5,0.482,0.9,1.0,1.0,0.0,4.0,72,2,4-Seam Fastball,8,1,1,8,3,8,3,8,Standard,Standard,208.0,0.0,1.556,67.9302691001888,6.50447
CU,2024-04-19,79.1,-2.37,6.18,"Gordon, Nick",624503,605155,,swinging_strike,14.0,Nick Gordon singles on a line drive to left fielder Alexander Canario.   Josh Bell scores.    Otto Lopez scores.,L,R,CHC,MIA,S,,,0,0,1.05,-1.21,0.84,1.61,,605137.0,672640.0,2,9,Top,,,665804,,5.03253095308242,-114.962934259437,-0.731308806645955,7.98066609680511,26.2636576847836,-42.8266401630742,3.54,1.72,,,,78.2,2756.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.26,,,,,,,,72,1,Curveball,8,1,1,8,1,8,1,8,Standard,Standard,37.0,-0.001,-0.067,71.0160079631967,8.50799
FF,2024-04-19,93.8,-2.14,6.05,"Lopez, Otto",672640,605155,single,hit_into_play,11.0,Otto Lopez singles on a line drive to left fielder Alexander Canario.   Josh Bell to 2nd.,R,R,CHC,MIA,X,7.0,line_drive,2,2,-0.56,1.1,-0.89,2.57,,,605137.0,2,9,Top,86.62,118.12,665804,,4.49803493895172,-136.61360434384,-5.79982109401807,-7.97989738093566,25.8291049148248,-17.3285026575654,3.3,1.5,135.0,104.8,7.0,94.4,2307.0,6.3,746892,643265,663538,621550,621020,672744,641355,643565,54.25,0.64,0.615,0.9,1.0,1.0,0.0,4.0,71,5,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Strategic,204.0,0.0,0.339,69.4956918336211,5.97391
SL,2024-04-19,86.5,-2.57,5.94,"Lopez, Otto",672640,605155,,blocked_ball,14.0,Otto Lopez singles on a line drive to left fielder Alexander Canario.   Josh Bell to 2nd.,R,R,CHC,MIA,B,,,1,2,0.43,-0.01,0.66,0.66,,,605137.0,2,9,Top,,,665804,,6.7962034852139,-125.759006690544,-6.3716197944094,3.29689468320389,24.0240930691398,-31.2764200573574,3.32,1.63,,,,86.6,2641.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.26,,,,,,,,71,4,Slider,8,1,1,8,1,8,1,8,Standard,Strategic,107.0,0.0,0.023,,
FF,2024-04-19,94.4,-2.3,5.95,"Lopez, Otto",672640,605155,,foul,1.0,Otto Lopez singles on a line drive to left fielder Alexander Canario.   Josh Bell to 2nd.,R,R,CHC,MIA,S,,,1,1,-0.52,1.24,-0.81,2.86,,,605137.0,2,9,Top,,,665804,,5.02022314095255,-137.418839221601,-5.14594075658716,-7.66133268059992,27.5264916583692,-15.4607547417436,3.3,1.5,208.0,70.3,42.0,94.7,2271.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.28,,,,,,,,71,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,212.0,0.0,-0.048,63.6822963478063,5.4192
FF,2024-04-19,92.6,-2.35,5.92,"Lopez, Otto",672640,605155,,foul,6.0,Otto Lopez singles on a line drive to left fielder Alexander Canario.   Josh Bell to 2nd.,R,R,CHC,MIA,S,,,1,0,0.0,1.05,0.32,2.56,,,605137.0,2,9,Top,,,665804,,6.80036255675789,-134.760918493139,-5.1335115552359,-1.2987341881178,26.7679484173726,-18.4392717062634,3.3,1.5,220.0,79.8,52.0,93.0,2241.0,6.3,746892,643265,663538,621550,621020,672744,641355,643565,54.16,,,,,,,,71,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,201.0,0.0,-0.039,66.9976649002643,6.32244
FF,2024-04-19,93.2,-2.12,6.12,"Lopez, Otto",672640,605155,,ball,12.0,Otto Lopez singles on a line drive to left fielder Alexander Canario.   Josh Bell to 2nd.,R,R,CHC,MIA,B,,,0,0,-0.21,1.28,0.88,3.74,,,605137.0,2,9,Top,,,665804,,8.17099088082748,-135.503239080017,-3.12231301487589,-4.4226740044177,31.5686738930847,-15.9280211917449,3.32,1.51,,,,93.0,2280.0,6.3,746892,643265,663538,621550,621020,672744,641355,643565,54.15,,,,,,,,71,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,206.0,0.0,0.025,,
FF,2024-04-19,94.0,-2.43,5.96,"Sánchez, Jesús",660821,605155,strikeout,called_strike,1.0,Jesús Sánchez called out on strikes.,L,R,CHC,MIA,S,2.0,,0,2,-0.23,0.94,-0.78,3.13,,,605137.0,1,9,Top,,,665804,,4.77474537313696,-136.758806156249,-3.6735092879821,-3.97604570678356,31.9618495717699,-19.8015434284917,3.3,1.57,,,,93.6,2227.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.32,,0.0,0.0,1.0,0.0,0.0,,70,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,211.0,0.001,-0.197,,
FF,2024-04-19,93.5,-2.35,6.03,"Sánchez, Jesús",660821,605155,,called_strike,1.0,Jesús Sánchez called out on strikes.,L,R,CHC,MIA,S,,,0,1,-0.32,1.15,-0.7,3.4,,,605137.0,1,9,Top,,,665804,,4.96607099619334,-136.09319433578,-3.55816740540954,-5.09236022194926,30.2322750911917,-17.3317541034408,3.43,1.57,,,,93.4,2224.0,6.3,746892,643265,663538,621550,621020,672744,641355,643565,54.23,,,,,,,,70,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,215.0,0.0,-0.057,,
FF,2024-04-19,94.2,-2.27,6.06,"Sánchez, Jesús",660821,605155,,swinging_strike,2.0,Jesús Sánchez called out on strikes.,L,R,CHC,MIA,S,,,0,0,-0.68,1.17,0.17,3.52,,,605137.0,1,9,Top,,,665804,,7.82589672333955,-136.935245023977,-3.43037655447758,-10.3751997010142,32.7646805119933,-16.903884404171,3.51,1.69,,,,93.7,2205.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.27,,,,,,,,70,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,216.0,0.0,-0.04,71.0296616938615,6.12486
FF,2024-04-19,94.1,-2.34,6.02,"Bell, Josh",605137,605155,force_out,hit_into_play,1.0,"Cubs challenged (slide interference), call on the field was upheld: Josh Bell grounds into a force out, third baseman Patrick Wisdom to shortstop Dansby Swanson.   Jazz Chisholm Jr.  out at 2nd.    Josh Bell to 1st.",L,R,CHC,MIA,X,5.0,ground_ball,2,2,-0.24,0.87,-0.58,3.52,,,665862.0,0,9,Top,100.31,162.23,665804,,5.09087722999894,-137.009987788262,-2.70762764427907,-4.2185714894474,31.0207626378939,-20.8322801983893,3.81,1.83,4.0,86.8,-37.0,94.0,2213.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.27,0.037,0.037,0.0,1.0,0.0,0.0,2.0,69,5,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,204.0,0.001,-0.531,68.8869026188752,6.6925
SL,2024-04-19,84.4,-2.62,6.01,"Bell, Josh",605137,605155,,swinging_strike,8.0,"Cubs challenged (slide interference), call on the field was upheld: Josh Bell grounds into a force out, third baseman Patrick Wisdom to shortstop Dansby Swanson.   Jazz Chisholm Jr.  out at 2nd.    Josh Bell to 1st.",L,R,CHC,MIA,S,,,2,1,0.57,0.17,0.25,2.24,,,665862.0,0,9,Top,,,665804,,5.55424537922995,-122.831813606226,-2.78883551929892,4.79875744824999,22.5287633560865,-30.1731396950856,3.81,1.83,,,,84.8,2557.0,6.4,746892,643265,663538,621550,621020,672744,641355,643565,54.12,,,,,,,,69,4,Slider,8,1,1,8,1,8,1,8,Standard,Standard,84.0,0.0,-0.067,76.1255392837703,8.82294
CU,2024-04-19,79.1,-2.31,6.24,"Bell, Josh",605137,605155,,ball,11.0,"Cubs challenged (slide interference), call on the field was upheld: Josh Bell grounds into a force out, third baseman Patrick Wisdom to shortstop Dansby Swanson.   Jazz Chisholm Jr.  out at 2nd.    Josh Bell to 1st.",L,R,CHC,MIA,B,,,1,1,1.36,-1.32,-1.85,2.58,,,665862.0,0,9,Top,,,665804,,-1.54149806149616,-115.079562759293,1.38239796306718,12.2680733025526,24.9863429461758,-44.2660192339423,3.51,1.62,,,,78.4,2712.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.27,,,,,,,,69,3,Curveball,8,1,1,8,1,8,1,8,Standard,Standard,38.0,0.0,0.069,,
FF,2024-04-19,93.4,-2.4,6.03,"Bell, Josh",605137,605155,,foul,11.0,"Cubs challenged (slide interference), call on the field was upheld: Josh Bell grounds into a force out, third baseman Patrick Wisdom to shortstop Dansby Swanson.   Jazz Chisholm Jr.  out at 2nd.    Josh Bell to 1st.",L,R,CHC,MIA,S,,,1,0,-0.24,0.88,-0.95,2.87,,,665862.0,0,9,Top,,,665804,,4.26618095976154,-135.941193496732,-4.33415771156837,-3.90024571026038,29.4193188000417,-20.465857020842,3.81,1.83,238.0,78.6,27.0,93.4,2178.0,6.2,746892,643265,663538,621550,621020,672744,641355,643565,54.26,,,,,,,,69,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,208.0,0.0,-0.072,71.0704621993488,7.86494
