pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-04-05,97.5,-1.4,5.5,"Westburg, Jordan",676059,683003,field_out,hit_into_play,6.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,X,9.0,line_drive,1,2,-0.63,1.3,0.79,2.77,,663624.0,,2,6,Top,186.8,77.89,680779,,7.39882037705787,-141.805566937847,-4.86642362894511,-10.2111500985981,32.4956729020812,-13.6538861288125,3.44,1.64,334.0,104.2,19.0,98.4,2555.0,6.8,745524,642133,669707,663647,665833,669261,572191,668804,53.68,0.5,0.685,0.0,1.0,0.0,0.0,5.0,47,6,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,213.0,0.039,-0.234,69.8388779208279,6.36383
SL,2024-04-05,86.7,-1.62,5.5,"Westburg, Jordan",676059,683003,,foul,7.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,S,,,1,2,0.39,-0.38,-0.64,2.08,,663624.0,,2,6,Top,,,680779,,1.55556759461451,-126.22184495147,-1.1765002984605,3.85618384126305,27.3377756158813,-36.1375551768295,3.44,1.64,5.0,89.2,-25.0,87.3,2409.0,6.8,745524,642133,669707,663647,665833,669261,572191,668804,53.69,,,,,,,,47,5,Slider,1,2,2,1,2,1,2,1,Standard,Standard,83.0,0.0,0.0,64.6715051261826,6.60851
SL,2024-04-05,88.8,-1.65,5.47,"Westburg, Jordan",676059,683003,,foul,3.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,S,,,1,2,0.24,0.19,0.66,2.93,,663624.0,,2,6,Top,,,680779,,5.20887506846713,-129.218549585659,-0.550089019033311,1.55650343260913,26.9052619234558,-30.1861625797086,3.44,1.64,215.0,76.3,51.0,89.8,2508.0,6.9,745524,642133,669707,663647,665833,669261,572191,668804,53.59,,,,,,,,47,4,Slider,1,2,2,1,2,1,2,1,Standard,Standard,115.0,0.0,0.0,69.2337069953802,6.44767
SL,2024-04-05,87.9,-1.69,5.4,"Westburg, Jordan",676059,683003,,swinging_strike,14.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,S,,,1,1,0.52,0.08,0.32,1.33,,663624.0,,2,6,Top,,,680779,,3.850292902833,-128.101705979862,-4.02315418805848,5.10647391791843,23.2322559408356,-30.7911790724587,3.44,1.64,,,,89.5,2523.0,6.9,745524,642133,669707,663647,665833,669261,572191,668804,53.61,,,,,,,,47,3,Slider,1,2,2,1,2,1,2,1,Standard,Standard,91.0,0.0,-0.077,36.491190738646,6.1626
FF,2024-04-05,95.5,-1.41,5.43,"Westburg, Jordan",676059,683003,,swinging_strike,2.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,S,,,1,0,-0.6,1.43,0.07,3.23,,663624.0,,2,6,Top,,,680779,,5.31609467616427,-139.082364215517,-3.46501379690307,-9.00106935752024,29.5927766556176,-12.9916859828876,3.44,1.64,,,,96.9,2476.0,6.9,745524,642133,669707,663647,665833,669261,572191,668804,53.6,,,,,,,,47,2,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,215.0,0.0,-0.048,71.9260877527076,5.93103
FF,2024-04-05,94.4,-1.33,5.34,"Westburg, Jordan",676059,683003,,ball,14.0,Jordan Westburg lines out sharply to right fielder Bryan Reynolds.,R,R,PIT,BAL,B,,,0,0,-0.6,1.51,1.2,1.77,,663624.0,,2,6,Top,,,680779,,8.00684725769325,-137.107433818587,-7.05454213082223,-9.32392000914542,29.8431991945929,-11.6896714528984,3.47,1.57,,,,95.5,2394.0,7.0,745524,642133,669707,663647,665833,669261,572191,668804,53.51,,,,,,,,47,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,216.0,0.0,0.024,,
SL,2024-04-05,88.8,-1.58,5.47,"Mullins, Cedric",656775,683003,strikeout,swinging_strike_blocked,14.0,Cedric Mullins strikes out swinging.,L,R,PIT,BAL,S,2.0,,1,2,0.09,0.06,0.37,0.71,,663624.0,,1,6,Top,,,680779,,4.63251358825407,-129.266737043411,-5.83917912128649,0.0685192691386086,24.9759813956077,-30.5476862934528,3.32,1.54,,,,90.2,2516.0,7.0,745524,642133,669707,663647,665833,669261,572191,668804,53.53,,0.0,0.0,1.0,0.0,0.0,,46,4,Slider,1,2,2,1,2,1,2,1,Standard,Standard,106.0,0.037,-0.256,64.4837030425783,8.42406
FF,2024-04-05,94.2,-1.6,5.4,"Mullins, Cedric",656775,683003,,foul,12.0,Cedric Mullins strikes out swinging.,L,R,PIT,BAL,S,,,1,1,-0.63,1.57,0.48,3.55,,663624.0,,1,6,Top,,,680779,,6.87981832636538,-136.962940173133,-2.5659997915327,-9.55237535498389,32.4512549512174,-12.1586710587479,3.32,1.54,259.0,76.8,46.0,94.8,2471.0,6.8,745524,642133,669707,663647,665833,669261,572191,668804,53.66,,,,,,,,46,3,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,217.0,0.0,-0.066,69.8526355860516,7.25836
SL,2024-04-05,88.1,-1.76,5.41,"Mullins, Cedric",656775,683003,,swinging_strike,14.0,Cedric Mullins strikes out swinging.,L,R,PIT,BAL,S,,,1,0,0.24,0.15,0.61,1.17,,663624.0,,1,6,Top,,,680779,,5.30333268864617,-128.119053750638,-4.46275159069476,1.42800459462929,28.8644274412089,-29.7936015029361,3.32,1.54,,,,88.5,2586.0,6.8,745524,642133,669707,663647,665833,669261,572191,668804,53.72,,,,,,,,46,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,104.0,0.0,-0.052,73.1037154955758,8.63815
SL,2024-04-05,88.8,-1.75,5.48,"Mullins, Cedric",656775,683003,,ball,14.0,Cedric Mullins strikes out swinging.,L,R,PIT,BAL,B,,,0,0,0.26,0.2,0.58,1.0,,663624.0,,1,6,Top,,,680779,,5.21727703461746,-129.300818636618,-5.43720235921543,1.86603097537861,25.8590842862832,-28.9694349932444,3.26,1.48,,,,89.9,2513.0,6.9,745524,642133,669707,663647,665833,669261,572191,668804,53.64,,,,,,,,46,1,Slider,1,2,2,1,2,1,2,1,Standard,Standard,83.0,0.0,0.031,,
