pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,stand,p_throws,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,4/6/2024,88.6,1.72,6.0,608385,624133,hit_by_pitch,hit_by_pitch,12.0,L,L,B,,,1,1,1.13,0.48,1.59,3.74,,,,0,7,Bot,,,-2.682554525,-129.0413814,-0.514400017,13.2139811,25.41182355,-26.84175312,3.41,1.59,,,,88.9,1767.0,6.3,744873,54.19,,0.720192,0.7,1.0,0.0,0.0,,50,3,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,147.0,0.067,0.415,,,,-0.415,,-2,-2,0.209,0.209,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.4,1.13,1.13,45.8
SI,4/6/2024,89.0,1.6,5.95,608385,624133,,ball,2.0,L,L,B,,,0,1,1.03,0.45,0.22,3.64,,,,0,7,Bot,,,-5.551881565,-129.7094929,-0.704653585,12.70819805,21.40510624,-27.09684148,3.64,1.78,,,,90.1,1800.0,6.4,744873,54.07,,,,,,,,50,2,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,150.0,0.0,0.023,,,,-0.023,,-2,-2,0.209,0.209,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.37,1.03,1.03,42.1
SI,4/6/2024,89.5,1.61,5.98,608385,624133,,called_strike,3.0,L,L,S,,,0,0,0.84,0.49,0.52,3.42,,,,0,7,Bot,,,-4.472527516,-130.3453814,-1.404324476,10.52660246,25.90711339,-26.44838947,3.58,1.69,,,,89.9,1855.0,6.3,744873,54.15,,,,,,,,50,1,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,155.0,0.0,-0.033,,,,0.033,,-2,-2,0.209,0.209,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.33,0.84,0.84,44.7
SI,4/6/2024,91.7,1.57,5.97,660688,624133,field_out,hit_into_play,4.0,R,L,X,7.0,fly_ball,0,0,0.87,0.55,-0.56,2.76,,,,2,6,Bot,84.45,104.05,-7.282242326,-133.363534,-3.444705205,11.90972395,28.79841252,-25.11511783,3.43,1.52,259.0,77.1,34.0,92.2,1941.0,6.6,744873,53.88,0.12,0.129,0.0,1.0,0.0,0.0,3.0,45,1,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,152.0,-0.014,-0.099,66.2,6.9,0.175,0.099,88.0,-2,-2,0.19,0.19,28,25,29,26,3,2,6.0,1.0,5.0,2.0,2.17,0.87,-0.87,46.9
SI,4/6/2024,89.7,1.71,5.82,608336,624133,strikeout,swinging_strike,6.0,L,L,S,2.0,,3,2,0.98,0.27,0.69,2.45,,,,1,6,Bot,,,-4.598190873,-130.6136179,-2.901904231,12.17455166,28.79168038,-28.62867352,3.62,1.71,,,,89.7,1779.0,6.4,744873,54.14,,0.0,0.0,1.0,0.0,0.0,,44,6,Sinker,2,4,2,4,4,2,2,4,Strategic,Standard,141.0,-0.023,-0.21,79.4,7.6,,0.21,,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.57,0.98,0.98,40.9
CH,4/6/2024,83.3,1.74,5.72,608336,624133,,ball,13.0,L,L,B,,,2,2,1.02,0.04,-0.5,0.03,,,,1,6,Bot,,,-7.137297625,-120.918232,-6.616934387,11.44092796,24.8053128,-30.62406462,3.69,1.78,,,,83.0,1259.0,6.4,744873,54.15,,,,,,,,44,5,Changeup,2,4,2,4,4,2,2,4,Strategic,Standard,119.0,0.0,0.068,,,,-0.068,,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,3.28,1.02,1.02,41.7
SI,4/6/2024,91.8,1.73,5.78,608336,624133,,ball,13.0,L,L,B,,,1,2,1.16,0.19,-1.44,1.51,,,,1,6,Bot,,,-10.53838589,-133.1669894,-5.288518044,16.11963135,29.52071784,-28.92699024,3.78,1.86,,,,91.6,1889.0,6.4,744873,54.06,,,,,,,,44,4,Sinker,2,4,2,4,4,2,2,4,Infield shade,Standard,133.0,0.0,0.027,,,,-0.027,,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.54,1.16,1.16,39.1
SI,4/6/2024,90.7,1.81,5.9,608336,624133,,foul,3.0,L,L,S,,,1,1,1.17,0.33,0.81,3.42,,,,1,6,Bot,,,-5.016919809,-131.9529757,-0.953624367,14.73297475,28.61408356,-28.32994846,3.62,1.71,97.0,61.2,73.0,90.7,1899.0,6.3,744873,54.18,,,,,,,,44,3,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,141.0,0.0,-0.039,67.9,6.2,,0.039,88.0,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.45,1.17,1.17,40.9
SI,4/6/2024,90.2,1.62,5.91,608336,624133,,swinging_strike,3.0,L,L,S,,,1,0,1.18,0.55,0.7,3.29,,,,1,6,Bot,,,-4.798848997,-131.2684515,-1.731833846,14.67908527,27.58017204,-25.70393922,3.62,1.71,,,,90.2,1896.0,6.3,744873,54.21,,,,,,,,44,2,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,144.0,0.0,-0.032,72.9,6.3,,0.032,,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,2.25,1.18,1.18,41.9
FF,4/6/2024,91.8,1.8,5.69,608336,624133,,ball,13.0,L,L,B,,,0,0,0.53,1.0,-0.72,1.26,,,,1,6,Bot,,,-7.525104769,-133.5076403,-7.603621669,7.765700842,24.61203438,-18.84484518,3.78,1.89,,,,92.5,2018.0,6.4,744873,54.09,,,,,,,,44,1,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,136.0,0.0,0.025,,,,-0.025,,-2,-2,0.213,0.213,28,30,29,31,3,2,6.0,1.0,5.0,1.0,1.68,0.53,0.53,37.8
