pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,stand,p_throws,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,4/2/2024,82.9,2.46,6.33,645277,676979,field_out,hit_into_play,9.0,R,L,X,6.0,ground_ball,2,2,-1.45,0.19,0.83,1.83,,,,1,6,Top,113.85,152.62,-0.882053227,-120.6986528,-4.231272469,-14.05341742,23.31477208,-29.67274962,3.23,1.59,31.0,79.9,0.0,83.7,2567.0,6.8,746814,53.72,0.191,0.184,0.0,1.0,0.0,0.0,2.0,38,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,294.0,0.025,-0.142,,,0.223,0.142,88.0,0,0,0.533,0.467,25,27,25,27,3,2,5.0,1.0,5.0,3.0,3.12,-1.45,1.45,43.4
FF,4/2/2024,94.1,2.45,6.06,645277,676979,,ball,12.0,R,L,B,,,1,2,0.47,1.23,1.35,3.28,,,,1,6,Top,,,-3.948188362,-136.9697069,-4.307433974,6.72645225,28.70592374,-15.93779624,3.3,1.5,,,,95.4,2443.0,6.9,746814,53.58,,,,,,,,38,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,139.0,0.0,0.027,,,,-0.027,,0,0,0.533,0.467,25,27,25,27,3,2,5.0,1.0,5.0,3.0,1.33,0.47,-0.47,36.0
ST,4/2/2024,82.9,2.29,6.3,645277,676979,,ball,14.0,R,L,B,,,0,2,-1.7,0.0,1.05,0.81,,,,1,6,Top,,,0.480175702,-120.6253568,-6.043935816,-16.52369287,26.23299972,-31.10991432,3.2,1.59,,,,83.3,2487.0,6.8,746814,53.68,,,,,,,,38,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,303.0,0.0,0.013,,,,-0.013,,0,0,0.533,0.467,25,27,25,27,3,2,5.0,1.0,5.0,3.0,3.35,-1.7,1.7,42.1
ST,4/2/2024,86.4,2.24,6.29,645277,676979,,swinging_strike,8.0,R,L,S,,,0,1,-1.31,0.26,0.14,1.63,,,,1,6,Top,,,-2.359445633,-125.8294394,-5.464376384,-13.42024544,26.35869061,-28.46432069,3.23,1.59,,,,87.3,2681.0,6.9,746814,53.61,,,,,,,,38,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,297.0,0.0,-0.036,,,,0.036,,0,0,0.533,0.467,25,27,25,27,3,2,5.0,1.0,5.0,3.0,2.79,-1.31,1.31,40.0
FF,4/2/2024,96.3,2.32,6.27,645277,676979,,called_strike,12.0,R,L,S,,,0,0,0.6,1.49,0.91,2.53,,,,1,6,Top,,,-5.169297694,-140.030151,-7.866879282,9.035817272,29.3568136,-11.03368095,3.31,1.6,,,,97.9,2547.0,7.1,746814,53.42,,,,,,,,38,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,147.0,0.0,-0.023,,,,0.023,,0,0,0.533,0.467,25,27,25,27,3,2,5.0,1.0,5.0,3.0,0.96,0.6,-0.6,37.4
FF,4/2/2024,96.9,2.43,6.13,645277,676979,field_out,hit_into_play,11.0,R,L,X,1.0,ground_ball,0,2,0.53,1.49,-1.05,3.28,,,,0,4,Top,125.21,182.5,-10.63936272,-140.6150657,-5.480393406,9.604022641,33.66836451,-11.37634134,3.23,1.59,23.0,46.2,-3.0,97.8,2466.0,7.1,746814,53.41,0.131,0.126,0.0,1.0,0.0,0.0,1.0,20,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,138.0,0.027,-0.146,,,0.143,0.146,88.0,0,0,0.5,0.5,25,27,25,27,2,1,5.0,1.0,5.0,3.0,0.97,0.53,-0.53,36.9
FF,4/2/2024,94.8,2.27,6.24,645277,676979,,foul,9.0,R,L,S,,,0,1,0.52,1.03,0.8,2.02,,,,0,4,Top,,,-5.072832947,-137.9429272,-7.787360997,7.772677995,28.18721274,-17.57125042,3.23,1.59,2.0,66.8,-50.0,96.2,2624.0,6.9,746814,53.6,,,,,,,,20,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,150.0,0.0,-0.049,,,,0.049,88.0,0,0,0.5,0.5,25,27,25,27,2,1,5.0,1.0,5.0,3.0,1.49,0.52,-0.52,39.5
FC,4/2/2024,89.7,2.31,6.37,645277,676979,,swinging_strike,6.0,R,L,S,,,0,0,-0.53,0.21,0.39,2.43,,,,0,4,Top,,,-3.699274417,-130.7343475,-4.293991108,-5.359567395,25.61752022,-29.1569195,3.23,1.59,,,,91.4,2609.0,7.0,746814,53.45,,,,,,,,20,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,191.0,0.0,-0.033,,,,0.033,,0,0,0.5,0.5,25,27,25,27,2,1,5.0,1.0,5.0,3.0,2.6,-0.53,0.53,41.9
FC,4/2/2024,94.2,2.29,6.31,645277,676979,field_out,hit_into_play,5.0,R,L,X,4.0,ground_ball,1,1,-0.34,0.59,-0.13,2.43,,,,1,1,Top,133.83,145.96,-5.627976745,-137.1574879,-5.786167323,-3.095467068,28.63394129,-23.71763687,3.23,1.59,8.0,85.2,-16.0,95.8,2721.0,7.1,746814,53.43,0.06,0.056,0.0,1.0,0.0,0.0,2.0,2,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,190.0,0.015,-0.154,,,0.061,0.154,88.0,0,0,0.522,0.478,25,27,25,27,1,0,5.0,1.0,5.0,3.0,1.97,-0.34,0.34,42.7
CH,4/2/2024,91.4,2.24,6.03,645277,676979,,ball,14.0,R,L,B,,,0,1,1.38,0.59,1.52,1.29,,,,1,1,Top,,,-4.892055091,-132.9942752,-7.515335129,17.38456687,27.30937561,-23.75053834,3.33,1.59,,,,93.4,1849.0,7.4,746814,53.11,,,,,,,,2,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,121.0,0.0,0.015,,,,-0.015,,0,0,0.522,0.478,25,27,25,27,1,0,5.0,1.0,5.0,3.0,2.13,1.38,-1.38,37.2
